work_section,description,unit,rate_low_aed,rate_mid_aed,rate_high_aed,source,notes
Lighting,"Decorative pendant — installation labour only",per fitting,150,280,500,"Dubai contractor benchmarks","Standard ceiling rose at low end; statement chandelier at high end."
Lighting,"Track lighting system — installation labour, per 3m run",per run,280,450,800,"Dubai contractor benchmarks","Excludes fittings."
Preliminaries,"Site setup, protection, daily clean — residential first-floor refit",per project,6000,12000,25000,"AECOM ME Handbook; T&T ICMS UAE","Scales with project duration. Floor protection, dust sheeting, daily housekeeping."
Preliminaries,"Permit and DM/DEWA fees — typical first-floor refit",per project,2500,6000,15000,"Dubai Municipality / DEWA published fee schedules","Building modification permit, MEP approvals, completion certificate. Excludes structural changes."
Preliminaries,"Skip hire and waste disposal",per skip,800,1500,3000,"Public Dubai waste contractor advertised rates 2024-25","6 yard standard. Mixed waste at high end."
Labour Day Rates,"Carpenter — skilled",per day,250,350,500,"BRKZ; UAE federal labour rate guides 2024","Per 8-hour day. Premium specialist (e.g. veneer) at high end."
Labour Day Rates,"Mason — skilled",per day,220,300,450,"BRKZ; UAE federal labour rate guides 2024","Per 8-hour day."
Labour Day Rates,"Plumber — skilled",per day,280,400,550,"BRKZ; UAE federal labour rate guides 2024","Per 8-hour day. Certified for water heater connection at high end."
Labour Day Rates,"Electrician — skilled",per day,280,400,550,"BRKZ; UAE federal labour rate guides 2024","Per 8-hour day. DEWA-approved required for tested work."
Labour Day Rates,"Painter — skilled",per day,200,280,400,"BRKZ; UAE federal labour rate guides 2024","Per 8-hour day. Specialist finish at high end."
Labour Day Rates,"Helper / labourer",per day,100,180,280,"BRKZ; UAE federal labour rate guides 2024","Per 8-hour day."
